solver_name,num_runs,avg_distance,median_distance,avg_runtime_seconds,median_runtime_seconds,feasibility_rate,avg_gap_vs_ortools_percent,median_gap_vs_ortools_percent
Nearest Neighbor,20,7.41650855214876,7.53888188035458,0.0010299300047336,0.0008032500190893,100.0,28.76480165358695,28.170055927041645
Neural MLP,20,7.453823975671243,7.271273710069497,0.0918338549978216,0.0856891500006895,100.0,29.522190796256552,28.78277377607824
Hybrid MLP alpha=0.5,20,7.214970992187693,7.1414760186012325,0.0927000050010974,0.0886590000009164,100.0,25.267193884247927,22.44794493210549
OR-Tools,20,5.778354313911256,5.801238227656135,1.0038612649979768,1.003258900003857,100.0,0.0,0.0
